target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,accessibility_violations,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
capitol.gov,capitol.gov,.gov,True,https://www.aoc.gov/virtual-capitol,aoc.gov,gov,www.aoc.gov,True,200.0,text/html,False,False,Architect of the Capitol,Architect of the Capitol,Legislative,False,"[""gov""]",,2024-12-20T02:21:01.403Z,completed,completed,,completed,completed,completed,completed,unknown_error,completed,False,amazonaws.com,Drupal,,,True,,False,,,"UA-19737398-2,G-RY5PGTVSQM","[""analytics.google.com"",""cdnjs.cloudflare.com"",""p.typekit.net"",""use.typekit.net"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://analytics.google.com/g/collect"",""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.5/ScrollTrigger.min.js"",""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.5/gsap.min.js"",""https://p.typekit.net/p.css"",""https://use.typekit.net/af/0b8bc3/00000000000000003b9ae8bc/27/l"",""https://use.typekit.net/af/0b96bf/000000000000000077359911/30/l"",""https://use.typekit.net/af/827acf/00000000000000003b9ae8bb/27/l"",""https://use.typekit.net/af/8367fd/0000000000000000773598ff/30/l"",""https://use.typekit.net/rfa6sts.css"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.googletagmanager.com/gtag/js""]",6.0,"["".aoc.gov"",""www.aoc.gov""]",True,0.0,207.0,"[""about"",""privacy""]","[""about us"",""inspector general"",""privacy policy""]",,,The Architect's Virtual Capitol | Architect of the Capitol,"Find out more about the Architect of the Capitol, our employees and our work.",,,,,,,,,https://www.aoc.gov/virtual-capitol,en,,True,False,True,https://www.aoc.gov/virtual-capitol,True,200.0,text/html,,,,False,True,https://www.aoc.gov/virtual-capitol,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.visitthecapital.gov,visitthecapital.gov,.gov,False,https://www.visitthecapital.gov/,visitthecapital.gov,gov,www.visitthecapital.gov,False,404.0,text/html,True,True,Architect of the Capitol,Architect of the Capitol,Legislative,True,"[""gov""]",,2024-12-20T04:43:39.626Z,completed,completed,"{""language"":1}",completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,False,,,,,,0.0,,False,0.0,67.19999980926514,,,,,404 - Unknown site,,,,,,,,,,,,,False,False,False,https://www.visitthecapital.gov/robots.txt,False,404.0,text/html,,,,False,False,https://www.visitthecapital.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.visitthecapitol.gov,visitthecapitol.gov,.gov,False,https://www.visitthecapitol.gov/,visitthecapitol.gov,gov,www.visitthecapitol.gov,True,200.0,text/html,True,True,Architect of the Capitol,Architect of the Capitol,Legislative,True,"[""gov"",""2020_eot"",""usagov"",""gov_man""]",,2024-12-20T07:19:27.704Z,completed,completed,,completed,completed,completed,completed,unknown_error,timeout,True,,Drupal,,,True,,False,,,"UA-26851084-6,G-CBLH25VM5N,G-S4JWB9LGH5","[""fonts.googleapis.com"",""fonts.gstatic.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/barlow/v12/7cHqv4kjgoGqM7E30-8s51ostz0rdg.woff2"",""https://fonts.gstatic.com/s/cormorantgaramond/v16/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQEl5fvg-IxBSL_g.woff2"",""https://fonts.gstatic.com/s/cormorantgaramond/v16/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQWlhfvg-IxBSL_g.woff2"",""https://fonts.gstatic.com/s/cormorantgaramond/v16/co3YmX5slCNuHLi8bLeY9MK7whWMhyjQdl9fvg-IxBSL_g.woff2"",""https://fonts.gstatic.com/s/nunitosans/v15/pe0TMImSLYBIv1o4X1M8ce2xCx3yop4tQpF_MeTm0lfGWVpNn64CL7U8upHZIbMV51Q42ptCp7t1R-tQKr51.woff2"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.google-analytics.com/j/collect"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",4.0,"["".visitthecapitol.gov""]",True,0.8865422305908205,3826.0,"[""about"",""privacy""]","[""accessibility"",""privacy policy"",""spanish""]",,,Home | U.S. Capitol - Visitor Center,,,,,,,,,,https://www.visitthecapitol.gov/node/2,en,,True,True,False,https://www.visitthecapitol.gov/robots.txt,True,200.0,text/plain,2027.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
capital.gov,capital.gov,.gov,True,https://www.aoc.gov/virtual-capitol,aoc.gov,gov,www.aoc.gov,True,200.0,text/html,False,False,Architect of the Capitol,Architect of the Capitol,Legislative,False,"[""gov""]",,2024-12-20T06:28:28.406Z,completed,completed,,completed,completed,completed,completed,unknown_error,completed,False,amazonaws.com,Drupal,,,True,,False,,,"UA-19737398-2,G-RY5PGTVSQM","[""analytics.google.com"",""cdnjs.cloudflare.com"",""p.typekit.net"",""use.typekit.net"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://analytics.google.com/g/collect"",""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.5/ScrollTrigger.min.js"",""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.5/gsap.min.js"",""https://p.typekit.net/p.css"",""https://use.typekit.net/af/0b8bc3/00000000000000003b9ae8bc/27/l"",""https://use.typekit.net/af/0b96bf/000000000000000077359911/30/l"",""https://use.typekit.net/af/827acf/00000000000000003b9ae8bb/27/l"",""https://use.typekit.net/af/8367fd/0000000000000000773598ff/30/l"",""https://use.typekit.net/rfa6sts.css"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.googletagmanager.com/gtag/js""]",6.0,"["".aoc.gov"",""www.aoc.gov""]",True,0.0,201.59999990463257,"[""about"",""privacy""]","[""about us"",""inspector general"",""privacy policy""]",,,The Architect's Virtual Capitol | Architect of the Capitol,"Find out more about the Architect of the Capitol, our employees and our work.",,,,,,,,,https://www.aoc.gov/virtual-capitol,en,,True,False,True,https://www.aoc.gov/virtual-capitol,True,200.0,text/html,,,,False,True,https://www.aoc.gov/virtual-capitol,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.capitol.gov,capitol.gov,.gov,True,https://www.aoc.gov/virtual-capitol,aoc.gov,gov,www.aoc.gov,True,200.0,text/html,False,False,Architect of the Capitol,Architect of the Capitol,Legislative,False,"[""gov"",""2020_eot"",""usagov""]",,2024-12-20T01:18:47.050Z,completed,completed,,completed,completed,completed,completed,unknown_error,completed,False,amazonaws.com,Drupal,,,True,,False,,,"UA-19737398-2,G-RY5PGTVSQM","[""analytics.google.com"",""cdnjs.cloudflare.com"",""p.typekit.net"",""use.typekit.net"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://analytics.google.com/g/collect"",""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.5/ScrollTrigger.min.js"",""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.5/gsap.min.js"",""https://p.typekit.net/p.css"",""https://use.typekit.net/af/0b8bc3/00000000000000003b9ae8bc/27/l"",""https://use.typekit.net/af/0b96bf/000000000000000077359911/30/l"",""https://use.typekit.net/af/827acf/00000000000000003b9ae8bb/27/l"",""https://use.typekit.net/af/8367fd/0000000000000000773598ff/30/l"",""https://use.typekit.net/rfa6sts.css"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.googletagmanager.com/gtag/js""]",6.0,"["".aoc.gov"",""www.aoc.gov""]",True,0.0,194.60000014305115,"[""about"",""privacy""]","[""about us"",""inspector general"",""privacy policy""]",,,The Architect's Virtual Capitol | Architect of the Capitol,"Find out more about the Architect of the Capitol, our employees and our work.",,,,,,,,,https://www.aoc.gov/virtual-capitol,en,,True,False,True,https://www.aoc.gov/virtual-capitol,True,200.0,text/html,,,,False,True,https://www.aoc.gov/virtual-capitol,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
aoc.gov,aoc.gov,.gov,True,https://www.aoc.gov/,aoc.gov,gov,www.aoc.gov,True,200.0,text/html,True,False,Architect of the Capitol,Architect of the Capitol,Legislative,True,"[""gov""]",,2024-12-20T07:51:00.448Z,completed,completed,,completed,completed,completed,completed,unknown_error,completed,False,amazonaws.com,Drupal,,,True,,False,,,"UA-19737398-2,G-RY5PGTVSQM","[""analytics.google.com"",""cdnjs.cloudflare.com"",""p.typekit.net"",""use.typekit.net"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://analytics.google.com/g/collect"",""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.5/ScrollTrigger.min.js"",""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.5/gsap.min.js"",""https://p.typekit.net/p.css"",""https://use.typekit.net/af/0b8bc3/00000000000000003b9ae8bc/27/l"",""https://use.typekit.net/af/0b96bf/000000000000000077359911/30/l"",""https://use.typekit.net/af/827acf/00000000000000003b9ae8bb/27/l"",""https://use.typekit.net/af/8367fd/0000000000000000773598ff/30/l"",""https://use.typekit.net/rfa6sts.css"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.googletagmanager.com/gtag/js""]",6.0,"["".aoc.gov"",""www.aoc.gov""]",True,0.0,315.80000019073486,"[""about"",""privacy""]","[""about us"",""inspector general"",""privacy policy""]",,,"Architect of the Capitol | Serve, Preserve, Inspire","Serving Congress and the Supreme Court, the Architect of the Capitol (AOC) is the builder and steward of the landmark buildings and grounds of Capitol Hill. Our staff preserves and maintains the historic buildings, monuments, art and inspirational gardens on the Capitol campus.",,,,,,,,,https://www.aoc.gov/,en,,True,True,True,https://www.aoc.gov/robots.txt,True,200.0,text/plain,2027.0,,,True,True,https://www.aoc.gov/sitemap.xml,True,200.0,text/xml,258390.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.capital.gov,capital.gov,.gov,True,https://www.aoc.gov/virtual-capitol,aoc.gov,gov,www.aoc.gov,True,200.0,text/html,False,False,Architect of the Capitol,Architect of the Capitol,Legislative,False,"[""gov""]",,2024-12-20T01:22:26.823Z,completed,completed,,completed,completed,completed,completed,unknown_error,completed,False,amazonaws.com,Drupal,,,True,,False,,,"UA-19737398-2,G-RY5PGTVSQM","[""analytics.google.com"",""cdnjs.cloudflare.com"",""p.typekit.net"",""use.typekit.net"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://analytics.google.com/g/collect"",""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.5/ScrollTrigger.min.js"",""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.5/gsap.min.js"",""https://p.typekit.net/p.css"",""https://use.typekit.net/af/0b8bc3/00000000000000003b9ae8bc/27/l"",""https://use.typekit.net/af/0b96bf/000000000000000077359911/30/l"",""https://use.typekit.net/af/827acf/00000000000000003b9ae8bb/27/l"",""https://use.typekit.net/af/8367fd/0000000000000000773598ff/30/l"",""https://use.typekit.net/rfa6sts.css"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.googletagmanager.com/gtag/js""]",6.0,"["".aoc.gov"",""www.aoc.gov""]",True,0.0,234.10000014305115,"[""about"",""privacy""]","[""about us"",""inspector general"",""privacy policy""]",,,The Architect's Virtual Capitol | Architect of the Capitol,"Find out more about the Architect of the Capitol, our employees and our work.",,,,,,,,,https://www.aoc.gov/virtual-capitol,en,,True,False,True,https://www.aoc.gov/virtual-capitol,True,200.0,text/html,,,,False,True,https://www.aoc.gov/virtual-capitol,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.capitalgiftshop.gov,capitalgiftshop.gov,.gov,,,,,,,,,,,Architect of the Capitol,Architect of the Capitol,Legislative,,"[""gov""]",,2024-12-20T01:25:13.695Z,dns_resolution_error,dns_resolution_error,,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.uscapitol.gov,uscapitol.gov,.gov,False,https://www.uscapitol.gov/,uscapitol.gov,gov,www.uscapitol.gov,False,404.0,text/html,True,True,Architect of the Capitol,Architect of the Capitol,Legislative,True,"[""gov""]",,2024-12-20T05:14:44.634Z,completed,completed,"{""language"":1}",completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,False,,,,,,0.0,,False,0.0,58.29999995231629,,,,,404 - Unknown site,,,,,,,,,,,,,False,False,False,https://www.uscapitol.gov/robots.txt,False,404.0,text/html,,,,False,False,https://www.uscapitol.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
uscapitalgiftshop.gov,uscapitalgiftshop.gov,.gov,,,,,,,,,,,Architect of the Capitol,Architect of the Capitol,Legislative,,"[""gov""]",,2024-12-20T00:52:47.336Z,dns_resolution_error,dns_resolution_error,,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
