target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
vpndr.udall.gov,udall.gov,.gov,,,,,,,,,,,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Executive,,"[""pulse""]",False,2024-06-01T06:02:12.694Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
training.ecr.gov,ecr.gov,.gov,,,,,,,,,,,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Executive,,"[""pulse""]",False,2024-06-01T06:33:03.534Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecrroster.udall.gov,udall.gov,.gov,,,,,,,,,,,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Executive,,"[""pulse""]",False,2024-06-01T06:18:02.611Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,"["".udall.gov""]",,,,,,False,False,Udall Foundation - News and Events,"The Morris K. Udall and Stewart L. Udall Foundation is a federal agency providing educational opportunities related to the environment and natural resources, Native American health care, and Native American tribal policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecr.gov,ecr.gov,.gov,True,https://www.udall.gov/,udall.gov,gov,www.udall.gov,True,200.0,text/html,False,False,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Executive,False,"[""gov"",""pulse""]",False,2024-06-01T06:18:55.407Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,True,"{""agency"":""UDALL""}","[""dap.digitalgov.gov"",""ssl.google-analytics.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".udall.gov""]",True,0.032421484375,402.5,"[""about""]","[""about us""]",True,True,Udall Foundation - Main Page,"The Morris K. Udall and Stewart L. Udall Foundation is a federal agency providing educational opportunities related to the environment and natural resources, Native American health care, and Native American tribal policy.",,Udall Foundation,"Providing educational opportunities related to the environment and natural resources, Native American health care, and Native American tribal policy",,,/assets/udall-logo.png,website,http://udall.gov,http://udall.gov/,en-US,,False,True,True,https://www.udall.gov/robots.txt,True,200.0,text/html,14150.0,,,True,True,https://www.udall.gov/sitemap.xml,True,200.0,text/html,14152.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
www.ecr.gov,ecr.gov,.gov,True,https://www.udall.gov/,udall.gov,gov,www.udall.gov,True,200.0,text/html,False,False,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Executive,False,"[""gov"",""2020_eot""]",False,2024-06-01T02:57:31.206Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,True,"{""agency"":""UDALL""}","[""dap.digitalgov.gov"",""ssl.google-analytics.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".udall.gov""]",True,0.032421484375,3718.1,"[""about""]","[""about us""]",,,Udall Foundation - Main Page,"The Morris K. Udall and Stewart L. Udall Foundation is a federal agency providing educational opportunities related to the environment and natural resources, Native American health care, and Native American tribal policy.",,Udall Foundation,"Providing educational opportunities related to the environment and natural resources, Native American health care, and Native American tribal policy",,,/assets/udall-logo.png,website,http://udall.gov,http://udall.gov/,en-US,,False,True,True,https://www.udall.gov/robots.txt,True,200.0,text/html,14150.0,,,True,True,https://www.udall.gov/sitemap.xml,True,200.0,text/html,14152.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
pif.udall.gov,udall.gov,.gov,,,,,,,,,,,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Executive,,"[""pulse""]",False,2024-06-01T06:03:31.116Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scholarshipapp.udall.gov,udall.gov,.gov,True,https://scholarshipapp.udall.gov/Login.aspx,udall.gov,gov,scholarshipapp.udall.gov,True,200.0,text/html,True,True,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Executive,True,"[""dap"",""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-01T05:09:22.509Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,True,"{""agency"":""UDALL""}","[""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".scholarshipapp.udall.gov"","".udall.gov"",""scholarshipapp.udall.gov""]",False,0.0,623.799,"[""about""]","[""accessibility""]",True,True,Udall Scholarship Online Application,,,,,,,,,,,,,False,False,False,https://scholarshipapp.udall.gov/robots.txt,False,404.0,text/html,,,,False,False,https://scholarshipapp.udall.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
trustees.udall.gov,udall.gov,.gov,True,https://trustees.udall.gov/Login.aspx,udall.gov,gov,trustees.udall.gov,True,200.0,text/html,True,True,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Executive,True,"[""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-01T02:41:41.099Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,"[""\""password\"""","">Sign In<"",""type=\""password\""""]",False,,True,"{""agency"":""UDALL""}","[""dap.digitalgov.gov""]",1.0,"[""trustees.udall.gov""]",False,0.313425,205.399,"[""about""]","[""accessibility""]",True,True,trustees.udall.gov,,,,,,,,,,,,,False,False,False,https://trustees.udall.gov/robots.txt,False,404.0,text/html,,,,False,False,https://trustees.udall.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
list1.udall.gov,udall.gov,.gov,,,,,,,,,,,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Executive,,"[""pulse""]",False,2024-06-01T05:08:35.316Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scholarappadmin.udall.gov,udall.gov,.gov,True,https://scholarappadmin.udall.gov/Login.aspx,udall.gov,gov,scholarappadmin.udall.gov,True,200.0,text/html,True,True,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Executive,True,"[""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-01T05:45:13.980Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,"[""\""password\"""","">Sign In<"",""type=\""password\""""]",False,,True,"{""agency"":""UDALL""}","[""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".scholarappadmin.udall.gov"","".udall.gov""]",False,0.0,193.199,"[""about""]","[""accessibility""]",True,True,Udall Admin Site,,,,,,,,,,,,,False,False,False,https://scholarappadmin.udall.gov/robots.txt,False,404.0,text/html,,,,False,False,https://scholarappadmin.udall.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
