target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts_preloaded,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
future.ncpc.gov,ncpc.gov,gov,False,https://future.ncpc.gov/,ncpc.gov,gov,future.ncpc.gov,True,200.0,text/html,True,True,National Capital Planning Commission,National Capital Planning Commission,Executive,True,"[""pulse""]",,2024-04-06T05:23:21.258Z,completed,timeout,completed,completed,completed,completed,completed,False,,,,,False,,False,,"[""api.ncpc.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""i.ytimg.com"",""jnn-pa.googleapis.com"",""s7.addthis.com"",""static.doubleclick.net"",""translate.google.com"",""translate.googleapis.com"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.gstatic.com"",""www.youtube.com"",""yt3.ggpht.com""]",16.0,"["".ncpc.gov""]",True,0.0,1752.8,"[""about""]","[""accessibility"",""privacy policy""]",True,True,Memorials for the Future,"The National Park Service and the National Capital Planning Commission in collaboration with Van Alen Institute, have launched Memorials for the Future, a competition that aims to reimagine the way we develop and experience memorials.",,Memorials for the Future Competition,"The National Park Service and the National Capital Planning Commission in collaboration with Van Alen Institute, have launched Memorials for the Future, a competition that aims to reimagine the way we develop and experience memorials. ",,,https://future.ncpc.gov/img/m4tf.jpg,website,https://future.ncpc.gov,,en,,False,False,False,https://future.ncpc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://future.ncpc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
api.ncpc.gov,ncpc.gov,gov,False,https://api.ncpc.gov/,ncpc.gov,gov,api.ncpc.gov,True,200.0,text/html,True,True,National Capital Planning Commission,National Capital Planning Commission,Executive,True,"[""pulse""]",,2024-04-06T04:28:04.544Z,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,0.0,,True,0.0,108.799,,,True,True,Domain Verification,,,,,,,,,,,en,,False,False,False,https://api.ncpc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://api.ncpc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
engage.ncpc.gov,ncpc.gov,gov,False,https://engage.ncpc.gov/,ncpc.gov,gov,engage.ncpc.gov,True,200.0,text/html,True,True,National Capital Planning Commission,National Capital Planning Commission,Executive,True,"[""pulse""]",,2024-04-06T01:42:44.323Z,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,0.0,,True,0.0,103.799,,,True,True,Domain Verification,,,,,,,,,,,en,,False,False,False,https://engage.ncpc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://engage.ncpc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
jefferson.ncpc.gov,ncpc.gov,gov,False,https://jefferson.ncpc.gov/,ncpc.gov,gov,jefferson.ncpc.gov,True,200.0,text/html,True,True,National Capital Planning Commission,National Capital Planning Commission,Executive,True,"[""pulse""]",,2024-04-06T00:32:35.050Z,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,0.0,,True,0.0,103.2,,,True,True,Domain Verification,,,,,,,,,,,en,,False,False,False,https://jefferson.ncpc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://jefferson.ncpc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
app.ncpc.gov,ncpc.gov,gov,False,https://app.ncpc.gov/,ncpc.gov,gov,app.ncpc.gov,True,200.0,text/html,True,True,National Capital Planning Commission,National Capital Planning Commission,Executive,True,"[""pulse""]",,2024-04-06T01:41:17.111Z,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,0.0,,True,0.0,106.599,,,True,True,Domain Verification,,,,,,,,,,,en,,False,False,False,https://app.ncpc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://app.ncpc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
files.ncpc.gov,ncpc.gov,gov,True,https://files.ncpc.gov/login.html,ncpc.gov,gov,files.ncpc.gov,True,200.0,text/html,True,True,National Capital Planning Commission,National Capital Planning Commission,Executive,True,"[""pulse""]",,2024-04-06T00:26:32.775Z,completed,completed,completed,completed,completed,completed,completed,False,,,,"[""\""password\"""","">Sign In<"",""type=\""password\""""]",False,,False,,"[""api.ncpc.gov"",""fonts.googleapis.com""]",2.0,"[""files.ncpc.gov""]",True,0.0,352.0,,,True,True,NCPC Web Transfer,,,,,,,,,,,en,,False,False,False,https://files.ncpc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://files.ncpc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
go.ncpc.gov,ncpc.gov,gov,False,https://go.ncpc.gov/,ncpc.gov,gov,go.ncpc.gov,True,200.0,text/html,True,True,National Capital Planning Commission,National Capital Planning Commission,Executive,False,"[""pulse""]",,2024-04-06T00:24:47.353Z,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,0.0,,True,0.0,96.299,,,True,True,NCPC Web Address Shortener Service,,,,,,,,,,,en,,False,True,False,https://go.ncpc.gov/robots.txt,True,200.0,text/html,751.0,,,True,False,https://go.ncpc.gov/sitemap.xml,True,200.0,text/html,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
www.ncpc.gov,ncpc.gov,gov,False,https://www.ncpc.gov/,ncpc.gov,gov,www.ncpc.gov,True,200.0,text/html,True,True,National Capital Planning Commission,National Capital Planning Commission,Executive,True,"[""gov"",""dap"",""eotw"",""usagov"",""gov_man""]",,2024-04-06T00:31:31.071Z,completed,completed,completed,completed,completed,completed,completed,False,,,,,True,,True,"{""agency"":""NCPC"",""pua"":""ua-33523145-2""}","[""analytics.google.com"",""api.ncpc.gov"",""buttons-config.sharethis.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""l.sharethis.com"",""platform-api.sharethis.com"",""stats.g.doubleclick.net"",""translate-pa.googleapis.com"",""translate.google.com"",""translate.googleapis.com"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.gstatic.com""]",16.0,"["".ncpc.gov""]",True,1.68229166666e-05,2826.399,"[""about"",""fear"",""foia"",""privacy""]","[""about us"",""accessibility"",""no fear act"",""freedom of information act"",""privacy policy"",""vulnerability disclosure""]",,,National Capital Planning Commission,"The National Capital Planning Commission is the federal government's planning agency for the National Capital Region. The Commission works with federal agencies as it seeks to preserve and enhance the extraordinary historical, cultural, and natural resources and federal assets of the National Capital Region to support the needs of the federal government and enrich the lives of the region's visitors, workers, and residents.","home, ncpc, planning, capital",NCPC Home Page,"The National Capital Planning Commission is the federal government's planning agency for the National Capital Region. The Commission works with federal agencies as it seeks to preserve and enhance the extraordinary historical, cultural, and natural resources and federal assets of the National Capital Region to support the needs of the federal government and enrich the lives of the region's visitors, workers, and residents.",,,https://www.ncpc.gov/images/ncpc-board.jpg,website,https://www.ncpc.gov/,,en,,False,True,False,https://www.ncpc.gov/robots.txt,True,200.0,text/plain,960.0,,,True,False,https://www.ncpc.gov/sitemap.xml,True,200.0,application/xml,1176563.0,299.0,8496.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
ncpc.gov,ncpc.gov,gov,True,https://www.ncpc.gov//,ncpc.gov,gov,www.ncpc.gov,True,200.0,text/html,True,False,National Capital Planning Commission,National Capital Planning Commission,Executive,True,"[""gov"",""pulse""]",,2024-04-06T00:32:19.402Z,completed,completed,completed,completed,completed,completed,completed,False,,,,,True,,True,"{""agency"":""NCPC"",""pua"":""ua-33523145-2""}","[""analytics.google.com"",""api.ncpc.gov"",""buttons-config.sharethis.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""l.sharethis.com"",""platform-api.sharethis.com"",""stats.g.doubleclick.net"",""translate-pa.googleapis.com"",""translate.google.com"",""translate.googleapis.com"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.gstatic.com""]",16.0,"["".ncpc.gov""]",True,1.68229166666e-05,2983.5,"[""about"",""fear"",""foia"",""privacy""]","[""about us"",""accessibility"",""no fear act"",""freedom of information act"",""privacy policy"",""vulnerability disclosure""]",True,True,National Capital Planning Commission,"The National Capital Planning Commission is the federal government's planning agency for the National Capital Region. The Commission works with federal agencies as it seeks to preserve and enhance the extraordinary historical, cultural, and natural resources and federal assets of the National Capital Region to support the needs of the federal government and enrich the lives of the region's visitors, workers, and residents.","home, ncpc, planning, capital",NCPC Home Page,"The National Capital Planning Commission is the federal government's planning agency for the National Capital Region. The Commission works with federal agencies as it seeks to preserve and enhance the extraordinary historical, cultural, and natural resources and federal assets of the National Capital Region to support the needs of the federal government and enrich the lives of the region's visitors, workers, and residents.",,,https://www.ncpc.gov/images/ncpc-board.jpg,website,https://www.ncpc.gov/,,en,,False,False,True,https://www.ncpc.gov//robots.txt,True,200.0,text/plain,,,,False,True,https://www.ncpc.gov//sitemap.xml,True,200.0,application/xml,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
commission.ncpc.gov,ncpc.gov,gov,True,https://commission.ncpc.gov/login.html,ncpc.gov,gov,commission.ncpc.gov,True,200.0,text/html,True,True,National Capital Planning Commission,National Capital Planning Commission,Executive,True,"[""pulse""]",,2024-04-06T01:40:00.365Z,completed,completed,completed,completed,completed,completed,completed,False,,,,"[""\""password\"""","">Forgot Password</a>"",""type=\""password\""""]",False,,False,,"[""api.ncpc.gov""]",1.0,,True,0.0,313.1,,,True,True,Commission Portal | Login Page,,,,,,,,,,,en,,False,False,False,https://commission.ncpc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://commission.ncpc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
