target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
adams.nrc.gov,nrc.gov,.gov,False,https://adams.nrc.gov/,nrc.gov,gov,adams.nrc.gov,False,404.0,text/html,True,True,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Executive,True,"[""pulse"",""omb_idea""]",True,2024-08-22T03:23:45.625Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,0.0,,False,0.0,396.099,,,True,True,,,,,,,,,,,,,,False,False,False,https://adams.nrc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://adams.nrc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
public-blog.nrc-gateway.gov,nrc-gateway.gov,.gov,False,https://public-blog.nrc-gateway.gov/,nrc-gateway.gov,gov,public-blog.nrc-gateway.gov,True,200.0,text/html,True,True,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Executive,True,"[""pulse"",""omb_idea"",""2020_eot""]",True,2024-08-22T03:25:05.097Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,WordPress,,,True,,False,,"[""0.gravatar.com"",""pixel.wp.com"",""s0.wp.com"",""secure.gravatar.com"",""stats.wp.com""]",5.0,,True,0.0,185.299,"[""about""]",,True,True,U.S. NRC Blog,,,U.S. NRC Blog,,,,https://secure.gravatar.com/blavatar/df0d680af4e87bd006f4570da582b2938b3cb9ade9578158800ece0fd63b87bf?s=200&ts=1724263486,website,https://public-blog.nrc-gateway.gov/,,en,,True,True,False,https://public-blog.nrc-gateway.gov/robots.txt,True,200.0,text/plain,654.0,,"[""https://public-blog.nrc-gateway.gov/news-sitemap.xml"",""https://public-blog.nrc-gateway.gov/sitemap.xml""]",True,False,https://public-blog.nrc-gateway.gov/sitemap.xml,True,200.0,text/xml,272756.0,754.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
r4-login.icam.nrc.gov,nrc.gov,.gov,,,,,,,,,,,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Executive,,"[""pulse""]",,2024-08-22T04:43:12.901Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
login.icam.nrc.gov,nrc.gov,.gov,False,https://login.icam.nrc.gov/,nrc.gov,gov,login.icam.nrc.gov,False,404.0,text/html,True,True,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Executive,True,"[""pulse""]",,2024-08-22T03:25:18.300Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,0.0,,False,0.0,268.7,,,True,True,Not Found,,,,,,,,,,,,,False,False,False,https://login.icam.nrc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://login.icam.nrc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
feedback.nrc.gov,nrc.gov,.gov,True,https://feedback.nrc.gov/pmfs/,nrc.gov,gov,feedback.nrc.gov,True,200.0,text/html,True,True,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Executive,True,"[""pulse"",""omb_idea""]",True,2024-08-22T03:26:52.777Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,True,,False,,"[""stats.g.doubleclick.net"",""www.google-analytics.com"",""www.nrc.gov""]",3.0,"["".feedback.nrc.gov"",""feedback.nrc.gov""]",False,0.0,942.2,"[""about"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",True,True,NRC: Public Meeting Feedback,"The Nuclear Regulatory Commission, protecting people and the environment.","Nuclear Regulatory Commission, NRC, protecting, people, environment",,,,,,,,,en,,False,False,False,https://feedback.nrc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://feedback.nrc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
pki.nrc.gov,nrc.gov,.gov,False,https://pki.nrc.gov/,nrc.gov,gov,pki.nrc.gov,False,403.0,text/html,True,True,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Executive,True,"[""pulse"",""omb_idea""]",True,2024-08-22T03:27:36.583Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,0.0,,False,0.0,108.799,,,False,True,403 - Forbidden: Access is denied.,,,,,,,,,,,,,False,False,False,https://pki.nrc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://pki.nrc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
forms.nrc.gov,nrc.gov,.gov,True,https://www.nrc.gov/,nrc.gov,gov,www.nrc.gov,True,200.0,text/html,True,False,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Executive,True,"[""pulse""]",,2024-08-22T03:28:00.328Z,completed,unknown_error,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,True,"{""agency"":""NRC""}","[""17de4c15.akstat.io"",""c.go-mpulse.net"",""cdn.gov.cfigroup.com"",""dap.digitalgov.gov"",""s2.go-mpulse.net"",""www.google-analytics.com"",""www.googletagmanager.com""]",7.0,"["".nrc.gov"",""www.nrc.gov""]",True,0.004580734375,1324.599,"[""about"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",True,True,Nuclear Regulatory Commission,Nuclear Regulatory Commission,,home,home,,,/cdn/site/logo/og-image.jpg,website,https://www.nrc.gov/,https://www.nrc.gov/,en-US,,True,True,True,https://www.nrc.gov/robots.txt,True,200.0,text/plain,444.0,,"[""https://www.nrc.gov/sitemapindex.xml""]",True,True,https://www.nrc.gov/sitemap.xml,True,200.0,text/html,2628.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
publish.nrc.gov,nrc.gov,.gov,True,https://www.nrc.gov/,nrc.gov,gov,www.nrc.gov,True,200.0,text/html,True,False,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Executive,True,"[""dap""]",,2024-08-22T03:28:46.660Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,True,"{""agency"":""NRC""}","[""17de4c19.akstat.io"",""c.go-mpulse.net"",""cdn.gov.cfigroup.com"",""dap.digitalgov.gov"",""s2.go-mpulse.net"",""www.google-analytics.com"",""www.googletagmanager.com""]",7.0,"["".nrc.gov"",""www.nrc.gov""]",True,0.0107187499999999,734.8,"[""about"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",True,True,Nuclear Regulatory Commission,Nuclear Regulatory Commission,,home,home,,,/cdn/site/logo/og-image.jpg,website,https://www.nrc.gov/,https://www.nrc.gov/,en-US,,True,True,True,https://www.nrc.gov/robots.txt,True,200.0,text/plain,444.0,,"[""https://www.nrc.gov/sitemapindex.xml""]",True,True,https://www.nrc.gov/sitemap.xml,True,200.0,text/html,2628.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
scp.nrc.gov,nrc.gov,.gov,False,https://scp.nrc.gov/,nrc.gov,gov,scp.nrc.gov,True,200.0,text/html,True,True,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Executive,False,"[""pulse""]",,2024-08-22T03:29:26.538Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,"[""stats.g.doubleclick.net"",""www.google-analytics.com"",""www.nrc.gov""]",3.0,"["".scp.nrc.gov""]",False,0.0,363.7,"[""about"",""privacy""]","[""accessibility"",""privacy policy""]",True,True,NRC Office of Nuclear Material Safety and Safeguards,"Documents for the NRC Office of State Programs including: Sealed Source and Device Registry sheets, Reviews of State Radiation Control Programs, Directories, State Programs Documents.","NRC Office of State Programs, Sealed Source and Device Registry, Reviews of State Radiation Control Programs, Directories, State Programs Documents, OSP, SSDR, decommissioning, industrial radiography, nuclear medicine, radioactive materials, byproduct material, special nuclear material, source material, Integrated Materials Performance Evaluation Program, IMPEP, common performance indicators, management review board, MRB, agreement state, uranium mill, radioactive waste, waste shipments, low level waste, high level waste, well logging, irradiator, radiopharmacy, high dose rate, medium dose rate, low dose rate, teletherapy , brachytherapy, alabama, arizona, arkansas, california, colorado, florida, georgia, illinois, iowa, kansas, kentucky, louisiana, maine, maryland, massachusetts, mississippi, nebraska, nevada, new hampshire, new mexico, new york, north carolina, north dakota, ohio, oklahoma, oregon, pennsylvania, rhode island, south carolina, tennessee, texas, utah, washington",,,,,,,,,en,,False,False,False,https://scp.nrc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://scp.nrc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
video.nrc.gov,nrc.gov,.gov,False,https://video.nrc.gov/,nrc.gov,gov,video.nrc.gov,True,200.0,text/html,True,True,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Executive,True,"[""pulse""]",,2024-08-22T01:58:34.990Z,completed,completed,completed,completed,completed,completed,completed,completed,True,amazonaws.com,,,,True,,False,,"[""f1-na.readspeaker.com"",""f1.eu.readspeaker.com"",""gateway.foresee.com"",""stats.g.doubleclick.net"",""www.google-analytics.com"",""www.nrc.gov""]",6.0,"["".nrc.gov"","".video.nrc.gov""]",False,0.0094770559082031,702.099,"[""about"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",True,True,NRC: Webcast Portal,"The Nuclear Regulatory Commission, protecting people and the environment.","Nuclear Regulatory Commission, NRC, protecting, people, environment",,,,,,,,,en,,False,True,False,https://video.nrc.gov/robots.txt,True,200.0,text/plain,26.0,,,False,False,https://video.nrc.gov/sitemap.xml,False,404.0,unknown,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
