target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
owassc8.nlrb.gov,nlrb.gov,.gov,,,,,,,,,,,National Labor Relations Board,National Labor Relations Board,Executive,,"[""pulse""]",,2024-11-09T08:34:50.954Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.nlrb.gov,nlrb.gov,.gov,False,https://www.nlrb.gov/,nlrb.gov,gov,www.nlrb.gov,True,200.0,text/html,True,True,National Labor Relations Board,National Labor Relations Board,Executive,True,"[""gov"",""dap"",""2020_eot"",""usagov"",""gov_man""]",,2024-11-09T09:50:29.955Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,False,,,login.gov,,True,,True,"{""agency"":""NLRB""}",20240711 v8.4 - GA4,"G-VTGGPH64LG,G-CSLL4ZEK4L,UA-4765078-5","[""dap.digitalgov.gov"",""siteimproveanalytics.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://siteimproveanalytics.com/js/siteanalyze_6019041.js"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.google-analytics.com/g/collect"",""https://www.googletagmanager.com/gtag/js""]",4.0,"["".nlrb.gov"","".www.nlrb.gov"",""www.nlrb.gov""]",True,0.0062753938802083,1879.1,"[""about"",""fear"",""foia"",""inspector"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""no fear act"",""foia"",""freedom of information act"",""inspector general"",""usa.gov"",""español"",""spanish""]",,,Home | National Labor Relations Board,,,,,,,,,,https://www.nlrb.gov/,en,,True,True,False,https://www.nlrb.gov/robots.txt,True,200.0,text/plain,2291.0,,,True,False,https://www.nlrb.gov/sitemap.xml,True,200.0,application/xml,1573.0,0.0,0.0,20.0,0.0,0.0,13.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-fieldset"",""usa-footer"",""usa-form"",""usa-form-group"",""usa-graphic-list"",""usa-header"",""usa-icon"",""usa-input"",""usa-label"",""usa-layout-docs"",""usa-link"",""usa-link-contact"",""usa-list"",""usa-logo"",""usa-media-block"",""usa-megamenu"",""usa-menu-btn"",""usa-overlay"",""usa-search"",""usa-section"",""usa-social-link""]",True,105.0,2.0,20.0,,0.0,160.0
accessdc4.nlrb.gov,nlrb.gov,.gov,,,,,,,,,,,National Labor Relations Board,National Labor Relations Board,Executive,,"[""pulse""]",,2024-11-09T02:18:47.058Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nlrb.gov,nlrb.gov,.gov,True,https://www.nlrb.gov/,nlrb.gov,gov,www.nlrb.gov,True,200.0,text/html,True,False,National Labor Relations Board,National Labor Relations Board,Executive,True,"[""gov"",""pulse"",""omb_idea""]",True,2024-11-09T01:16:32.082Z,completed,completed,completed,completed,execution_context_destroyed,completed,completed,completed,False,,,,,False,,False,,,,,,0.0,"["".nlrb.gov"",""www.nlrb.gov""]",False,,,,,True,True,,,,,,,,,,,,,,False,True,False,https://nlrb.gov/robots.txt,True,200.0,text/plain,2291.0,,,True,True,https://www.nlrb.gov/sitemap.xml,True,200.0,application/xml,1573.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
owasdc4.nlrb.gov,nlrb.gov,.gov,,,,,,,,,,,National Labor Relations Board,National Labor Relations Board,Executive,,"[""pulse""]",,2024-11-09T02:42:32.744Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skypewebextdc4.nlrb.gov,nlrb.gov,.gov,,,,,,,,,,,National Labor Relations Board,National Labor Relations Board,Executive,,"[""pulse""]",,2024-11-09T06:36:55.180Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fs.nlrb.gov,nlrb.gov,.gov,True,https://login.microsoftonline.com/intcontoso2ax7.onmicrosoft.com/wsfed?wa=wsignin1.0&wtrealm=spn%3a00000015-0000-0000-c000-000000000000&wctx=rm%3d0%26id%3dpassive%26ru%3d%252f&wct=2024-11-09T06%3a29%3a33Z&wreply=https%3a%2f%2ffs.nlrb.gov%2f,microsoftonline.com,com,login.microsoftonline.com,True,200.0,text/html,False,False,National Labor Relations Board,National Labor Relations Board,Executive,False,"[""pulse""]",,2024-11-09T06:29:38.919Z,completed,execution_context_destroyed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,,"[""aadcdn.msftauth.net"",""login.live.com""]","[""https://aadcdn.msftauth.net/ests/2.1/content/cdnbundles/converged.v2.login.min_nin8k2ycrbzww8zl5vxkaq2.css"",""https://aadcdn.msftauth.net/ests/2.1/content/cdnbundles/ux.converged.login.strings-en.min_1yb3e7oii5t28dgo4xrtow2.js"",""https://aadcdn.msftauth.net/shared/1.0/content/js/ConvergedLogin_PCore_IzDt-l0Cuie0gYRUoEk15w2.js"",""https://aadcdn.msftauth.net/shared/1.0/content/js/oneDs_f2e0f4a029670f10d892.js"",""https://login.live.com/Me.htm""]",2.0,"["".login.microsoftonline.com"",""login.microsoftonline.com""]",True,0.061136890625,1117.2,,,False,True,Sign in to your account,,,,,,,,,,,en,,False,False,True,https://login.microsoftonline.com/intcontoso2ax7.onmicrosoft.com/wsfed?wa=wsignin1.0&wtrealm=spn%3a00000015-0000-0000-c000-000000000000&wctx=rm%3d0%26id%3dpassive%26ru%3d%252frobots.txt&wct=2024-11-09T06%3a29%3a33Z&wreply=https%3a%2f%2ffs.nlrb.gov%2f,True,200.0,text/html,,,,False,True,https://login.microsoftonline.com/intcontoso2ax7.onmicrosoft.com/wsfed?wa=wsignin1.0&wtrealm=spn%3a00000015-0000-0000-c000-000000000000&wctx=rm%3d0%26id%3dpassive%26ru%3d%252fsitemap.xml&wct=2024-11-09T06%3a29%3a37Z&wreply=https%3a%2f%2ffs.nlrb.gov%2f,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
hqdevasa.nlrb.gov,nlrb.gov,.gov,,,,,,,,,,,National Labor Relations Board,National Labor Relations Board,Executive,,"[""pulse""]",,2024-11-09T01:16:51.401Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,"[""hqdevasa.nlrb.gov""]",,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc3asaone.nlrb.gov,nlrb.gov,.gov,,,,,,,,,,,National Labor Relations Board,National Labor Relations Board,Executive,,"[""pulse""]",,2024-11-09T07:48:07.427Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,"[""dc3asaone.nlrb.gov""]",,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sip.nlrb.gov,nlrb.gov,.gov,,,,,,,,,,,National Labor Relations Board,National Labor Relations Board,Executive,,"[""pulse""]",,2024-11-09T08:21:14.886Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
