target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
www.supremecourtus.gov,supremecourtus.gov,.gov,True,https://www.supremecourt.gov/,supremecourt.gov,gov,www.supremecourt.gov,True,200.0,text/html,False,False,The Supreme Court,Supreme Court of the United States,Judicial,False,"[""gov"",""2020_eot"",""usagov"",""uscourts""]",,2024-09-08T05:38:23.936Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,False,,,,"[""17de4c10.akstat.io"",""c.go-mpulse.net"",""s.go-mpulse.net""]",3.0,"["".supremecourt.gov"",""www.supremecourt.gov""]",True,0.0,341.599,"[""about"",""privacy"",""usa.gov""]","[""privacy policy"",""usa.gov""]",,,Home - Supreme Court of the United States,,"Supreme Court of the United States, Supreme Court, Supreme Court of US, Supremecourt, United State Supreme Court, US Supreme Court, U.S. Supreme Court, Court, Docket, Dockets, Opinion, Opininons, Oral Arguments, Justitces, Court Rules, Bar, Merits, Briefs, Order, Orders",,,,,,,,,,,False,True,True,https://www.supremecourt.gov/robots.txt,True,200.0,text/plain,155.0,,,True,True,https://www.supremecourt.gov/sitemap.xml,True,200.0,text/html,31304.0,0.0,4.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
scuspd.gov,scuspd.gov,.gov,True,https://www.scuspd.gov/,scuspd.gov,gov,www.scuspd.gov,True,200.0,text/html,True,False,The Supreme Court,Supreme Court of the United States,Judicial,True,"[""gov""]",,2024-09-08T02:49:00.139Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,akamaitechnologies.com,,,,False,,False,,,,"[""17de4c19.akstat.io"",""c.go-mpulse.net"",""s.go-mpulse.net""]",3.0,"[""www.scuspd.gov""]",True,0.0,191.9,"[""privacy""]","[""privacy policy""]",,,Home - Supreme Court of the United States Police Department,,"Supreme Court of the United States Police, Supreme Court Police, Supreme Court of US Police, Supremecourt  Police, United State Supreme Court Police, US Supreme Court Police,         U.S. Supreme Court Police, Court Police, Police",,,,,,,,,,,False,True,True,https://www.scuspd.gov/robots.txt,True,200.0,text/plain,171.0,,,False,True,https://www.scuspd.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.supremecourt.gov,supremecourt.gov,.gov,False,https://www.supremecourt.gov/,supremecourt.gov,gov,www.supremecourt.gov,True,200.0,text/html,True,True,The Supreme Court,Supreme Court of the United States,Judicial,False,"[""gov"",""2020_eot"",""usagov"",""gov_man""]",,2024-09-08T07:45:28.765Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,False,,,,"[""17de4c15.akstat.io"",""c.go-mpulse.net"",""s.go-mpulse.net""]",3.0,"["".supremecourt.gov"",""www.supremecourt.gov""]",True,3.45885416666e-05,655.5,"[""about"",""privacy"",""usa.gov""]","[""privacy policy"",""usa.gov""]",,,Home - Supreme Court of the United States,,"Supreme Court of the United States, Supreme Court, Supreme Court of US, Supremecourt, United State Supreme Court, US Supreme Court, U.S. Supreme Court, Court, Docket, Dockets, Opinion, Opininons, Oral Arguments, Justitces, Court Rules, Bar, Merits, Briefs, Order, Orders",,,,,,,,,,,False,True,False,https://www.supremecourt.gov/robots.txt,True,200.0,text/plain,155.0,,,True,False,https://www.supremecourt.gov/sitemap.xml,True,200.0,text/html,31304.0,0.0,4.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.scus.gov,scus.gov,.gov,,,,,,,,,,,The Supreme Court,Supreme Court of the United States,Judicial,,"[""gov""]",,2024-09-08T04:54:07.926Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.scuspd.gov,scuspd.gov,.gov,False,https://www.scuspd.gov/,scuspd.gov,gov,www.scuspd.gov,True,200.0,text/html,True,True,The Supreme Court,Supreme Court of the United States,Judicial,True,"[""gov""]",,2024-09-08T07:15:40.051Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,False,,False,,,,"[""17de4c1e.akstat.io"",""52-222-123-172_s-23-32-75-29_ts-1725779731-clienttons-s.akamaihd.net"",""c.go-mpulse.net"",""gtphxlax3cjtqzw5j4ka-p6ut6w-eda06de6b-clientnsv4-s.akamaihd.net"",""s.go-mpulse.net"",""trial-eum-clientnsv4-s.akamaihd.net"",""trial-eum-clienttons-s.akamaihd.net""]",7.0,"[""www.scuspd.gov""]",True,0.0,264.0,"[""privacy""]","[""privacy policy""]",,,Home - Supreme Court of the United States Police Department,,"Supreme Court of the United States Police, Supreme Court Police, Supreme Court of US Police, Supremecourt  Police, United State Supreme Court Police, US Supreme Court Police,         U.S. Supreme Court Police, Court Police, Police",,,,,,,,,,,False,True,False,https://www.scuspd.gov/robots.txt,True,200.0,text/plain,171.0,,,False,False,https://www.scuspd.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
sc-us.gov,sc-us.gov,.gov,,,,,,,,,,,The Supreme Court,Supreme Court of the United States,Judicial,,"[""gov""]",,2024-09-08T07:01:33.412Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.sc-us.gov,sc-us.gov,.gov,,,,,,,,,,,The Supreme Court,Supreme Court of the United States,Judicial,,"[""gov""]",,2024-09-08T02:46:27.708Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
supremecourtus.gov,supremecourtus.gov,.gov,,,,,,,,,,,The Supreme Court,Supreme Court of the United States,Judicial,,"[""gov""]",,2024-09-08T07:43:05.269Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.supreme-court.gov,supreme-court.gov,.gov,,,,,,,,,,,The Supreme Court,Supreme Court of the United States,Judicial,,"[""gov""]",,2024-09-08T05:13:20.667Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scinet.gov,scinet.gov,.gov,,,,,,,,,,,The Supreme Court,Supreme Court of the United States,Judicial,,"[""gov""]",,2024-09-08T07:18:30.639Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
