target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,accessibility_violations,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count,www_scan_status,www_url,www_status_code,www_title
csosa-vpn.csosa.gov,csosa.gov,.gov,False,https://csosa-vpn.csosa.gov/global-protect/login.esp,csosa.gov,gov,csosa-vpn.csosa.gov,True,200.0,text/html,True,True,DC Court Services and Offender Supervision Agency,Office of information Technology,Executive,True,"[""pulse""]",,2025-01-06T18:31:34.731Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""contrast"":2,""lists"":1}",False,,,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,,,,0.0,"[""csosa-vpn.csosa.gov""]",True,0.0,467.59999990463257,,,True,True,GlobalProtect Portal,,,,,,,,,,,en,,False,False,False,https://csosa-vpn.csosa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://csosa-vpn.csosa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
intactws.psa.gov,psa.gov,.gov,,,,,,,,,,,DC Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,Executive,,"[""pulse""]",,2025-01-08T11:10:48.558Z,connection_reset,connection_reset,completed,connection_reset,connection_reset,connection_reset,completed,connection_reset,,False,,,,,,,,,,,,,,,,,,,,True,True,IIS Windows Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
voltage-ps-0000.psa.gov,psa.gov,.gov,,,,,,,,,,,DC Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,Executive,,"[""pulse""]",,2025-01-06T02:52:41.490Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
cma.csosa.gov,csosa.gov,.gov,,,,,,,,,,,DC Court Services and Offender Supervision Agency,Office of information Technology,Executive,,"[""pulse""]",,2025-01-06T19:09:11.312Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
www.pretrialservices.gov,pretrialservices.gov,.gov,False,https://www.pretrialservices.gov/,pretrialservices.gov,gov,www.pretrialservices.gov,True,200.0,text/html,True,True,DC Court Services and Offender Supervision Agency,Pretrial Services Agency for the District of Columbia,Executive,True,"[""gov""]",,2025-01-08T00:14:11.030Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,"{""contrast"":7,""language"":1,""link-purpose"":8}",False,,Drupal,,,True,,False,,,UA-32983908-1,"[""6064224.global.siteimproveanalytics.io"",""code.jquery.com"",""siteimproveanalytics.com"",""ssl.google-analytics.com"",""www.google.com"",""www.gstatic.com"",""www.psa.gov""]","[""https://6064224.global.siteimproveanalytics.io/image.aspx"",""https://code.jquery.com/jquery-2.2.4.min.js"",""https://code.jquery.com/ui/1.10.2/jquery-ui.min.js"",""https://siteimproveanalytics.com/js/siteanalyze_6064224.js"",""https://ssl.google-analytics.com/__utm.gif"",""https://ssl.google-analytics.com/ga.js"",""https://www.google.com/jsapi"",""https://www.gstatic.com/charts/loader.js"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/banner_item_off.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/banner_item_on.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/body_bk.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/button_bk.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/footer_bk.webp"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/header_bk_off.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/top_slider_bk.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/logo.png"",""https://www.psa.gov/sites/default/files/banner/pretrial%201.jpg"",""https://www.psa.gov/sites/default/files/banner/pretrial%205.jpg"",""https://www.psa.gov/sites/default/files/banner/pretrial%206.jpg"",""https://www.psa.gov/sites/default/files/banner/wooden-judges-gavel.png"",""https://www.psa.gov/sites/default/files/css/css_5RN4Nw1OPhIE_hF2Z3BVxYtpmTEddE2ybsAZFX_fdGY.css"",""https://www.psa.gov/sites/default/files/css/css_PGbJgHCUCBf4dg7K9Kt8aAwsApndP4GZ9RuToPy3-Fk.css"",""https://www.psa.gov/sites/default/files/css/css_XGOXJ3PiBmht8lDWSW57fBFHPn-RQL7YEhZiErmtyQE.css"",""https://www.psa.gov/sites/default/files/css/css_YhwascmGOzqb6RBsFwvftM-BFxilv5SZzkfbAaZYp8I.css"",""https://www.psa.gov/sites/default/files/css/css_lPTNqJHv9dE1N7nbJGjuTT_19bkU91u7QlNq85ouYAM.css"",""https://www.psa.gov/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css"",""https://www.psa.gov/sites/default/files/css/css_xn79a2te7wwoiYb7MnXfpikvZbwqlhx3AE89I4uR370.css""]",7.0,"["".pretrialservices.gov""]",False,0.0185416666666666,577.0999999046326,"[""about"",""fear"",""foia"",""usa.gov"",""espanol""]","[""accessibility"",""budget and performance"",""no fear act"",""foia"",""privacy policy"",""usa.gov"",""español""]",,,Pretrial Services Agency,,,,,,,,,,,,,False,True,False,https://www.pretrialservices.gov/robots.txt,True,200.0,text/plain,2189.0,10.0,,False,False,https://www.pretrialservices.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
pretrialservices.gov,pretrialservices.gov,.gov,False,https://pretrialservices.gov/,pretrialservices.gov,gov,pretrialservices.gov,True,200.0,text/html,True,True,DC Court Services and Offender Supervision Agency,Pretrial Services Agency for the District of Columbia,Executive,True,"[""gov"",""pulse""]",,2025-01-06T00:56:32.870Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""contrast"":7,""language"":1,""link-purpose"":8}",False,,Drupal,,,True,,False,,,UA-32983908-1,"[""6064224.global.siteimproveanalytics.io"",""code.jquery.com"",""siteimproveanalytics.com"",""ssl.google-analytics.com"",""www.google.com"",""www.gstatic.com"",""www.psa.gov""]","[""https://6064224.global.siteimproveanalytics.io/image.aspx"",""https://code.jquery.com/jquery-2.2.4.min.js"",""https://code.jquery.com/ui/1.10.2/jquery-ui.min.js"",""https://siteimproveanalytics.com/js/siteanalyze_6064224.js"",""https://ssl.google-analytics.com/__utm.gif"",""https://ssl.google-analytics.com/ga.js"",""https://www.google.com/jsapi"",""https://www.gstatic.com/charts/loader.js"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/banner_item_off.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/banner_item_on.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/body_bk.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/button_bk.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/footer_bk.webp"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/header_bk_off.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/img/top_slider_bk.png"",""https://www.psa.gov/sites/all/themes/fusion/psa_theme/logo.png"",""https://www.psa.gov/sites/default/files/banner/pretrial%201.jpg"",""https://www.psa.gov/sites/default/files/banner/pretrial%205.jpg"",""https://www.psa.gov/sites/default/files/banner/pretrial%206.jpg"",""https://www.psa.gov/sites/default/files/banner/wooden-judges-gavel.png"",""https://www.psa.gov/sites/default/files/css/css_5RN4Nw1OPhIE_hF2Z3BVxYtpmTEddE2ybsAZFX_fdGY.css"",""https://www.psa.gov/sites/default/files/css/css_PGbJgHCUCBf4dg7K9Kt8aAwsApndP4GZ9RuToPy3-Fk.css"",""https://www.psa.gov/sites/default/files/css/css_XGOXJ3PiBmht8lDWSW57fBFHPn-RQL7YEhZiErmtyQE.css"",""https://www.psa.gov/sites/default/files/css/css_YhwascmGOzqb6RBsFwvftM-BFxilv5SZzkfbAaZYp8I.css"",""https://www.psa.gov/sites/default/files/css/css_lPTNqJHv9dE1N7nbJGjuTT_19bkU91u7QlNq85ouYAM.css"",""https://www.psa.gov/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css"",""https://www.psa.gov/sites/default/files/css/css_xn79a2te7wwoiYb7MnXfpikvZbwqlhx3AE89I4uR370.css""]",7.0,"["".pretrialservices.gov""]",False,0.0185416666666666,593.0,"[""about"",""fear"",""foia"",""usa.gov"",""espanol""]","[""accessibility"",""budget and performance"",""no fear act"",""foia"",""privacy policy"",""usa.gov"",""español""]",True,True,Pretrial Services Agency,,,,,,,,,,,,,False,True,False,https://pretrialservices.gov/robots.txt,True,200.0,text/plain,2189.0,10.0,,False,False,https://pretrialservices.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,completed,https://www.pretrialservices.gov,200.0,Pretrial Services Agency
prismportal.csosa.gov,csosa.gov,.gov,,,,,,,,,,,DC Court Services and Offender Supervision Agency,Office of information Technology,Executive,,"[""pulse""]",,2025-01-02T04:59:24.722Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,,False,,,,,,,,,,,,,,,,,,,,True,True,IIS Windows Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
remotedr.csosa.gov,csosa.gov,.gov,False,https://remotedr.csosa.gov/,csosa.gov,gov,remotedr.csosa.gov,False,401.0,text/html,True,True,DC Court Services and Offender Supervision Agency,Office of information Technology,Executive,,"[""pulse""]",,2025-01-06T14:04:06.974Z,completed,completed,completed,unknown_error,completed,completed,completed,completed,"{""page-titled"":1,""language"":1}",False,,,,,False,,False,,,,,,0.0,,False,0.0,970.3000001907347,,,True,True,,,,,,,,,,,,,,False,False,True,https://remotedr.csosa.gov/vpn/index.html,False,401.0,text/html,,,,False,True,https://remotedr.csosa.gov/vpn/index.html,False,401.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
www.csosa.gov,csosa.gov,.gov,False,https://www.csosa.gov/,csosa.gov,gov,www.csosa.gov,True,200.0,text/html,True,True,DC Court Services and Offender Supervision Agency,Office of information Technology,Executive,True,"[""gov"",""2020_eot"",""usagov""]",,2025-01-06T14:24:57.706Z,completed,timeout,completed,completed,completed,completed,unknown_error,completed,,False,,WordPress,,,True,,False,,,,"[""152.180.7.36"",""cdnjs.cloudflare.com"",""connect.facebook.net"",""fonts.googleapis.com"",""fonts.gstatic.com"",""maxcdn.bootstrapcdn.com""]","[""https://152.180.7.36/wp-content/uploads/2017/06/csosa_footer_bg_image.png"",""https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css"",""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css"",""https://connect.facebook.net/en_US/sdk.js"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/bitter/v36/raxhHiqOu8IVPmnRc6SY1KXhnF_Y8fbfOLjOW3pzveS5Bw.woff"",""https://fonts.gstatic.com/s/opensans/v40/memSYaGs126MiZpBA-UvWbX2vVnXBbObj2OVZyOOSr4dVJWUgsjZ0B4gaVQUwaEQbjA.woff"",""https://fonts.gstatic.com/s/opensans/v40/memtYaGs126MiZpBA-UFUIcVXSCEkx2cmqvXlWqWuU6FxZCJgg.woff2"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://fonts.gstatic.com/s/oswald/v53/TK3IWkUHHAIjg75cFRf3bXL8LICs13Fv40pKlN4NNSeSASwcEWlWHYjMdZwl.woff2"",""https://fonts.gstatic.com/s/oswald/v53/TK3_WkUHHAIjg75cFRf3bXL8LICs1_FvsUZiYySUhiCXAA.woff"",""https://fonts.gstatic.com/s/oswald/v53/TK3iWkUHHAIjg752GT8Gl-1PKw.woff2"",""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css""]",6.0,,True,0.6436697591145834,2274.2000002861023,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""privacy policy"",""usa.gov""]",,,CSOSA,,,,,,,,,,https://www.csosa.gov/,en-US,,False,True,False,https://www.csosa.gov/robots.txt,True,200.0,text/plain,114.0,,"[""https://www.csosa.gov/wp-sitemap.xml""]",False,True,https://www.csosa.gov/wp-sitemap.xml,True,200.0,application/xml,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
voltage-pp-0000.csosa.gov,csosa.gov,.gov,,,,,,,,,,,DC Court Services and Offender Supervision Agency,Office of information Technology,Executive,,"[""pulse""]",,2025-01-08T07:52:48.040Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
