target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,scan_date,primary_scan_status,dns_scan_status,not_found_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,cloud_dot_gov_pages,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,title,description,og_title,og_description,og_article_published,og_article_modified,canonical_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inline_css,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
mongolia.peacecorps.gov,peacecorps.gov,gov,,,,,,,,,,,U.S. Peace Corps,Peace Corps,Executive,,"[""pulse""]",2024-02-17T06:52:21.521Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namibia.peacecorps.gov,peacecorps.gov,gov,,,,,,,,,,,U.S. Peace Corps,Peace Corps,Executive,,"[""pulse""]",2024-02-17T04:47:07.326Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py.peacecorps.gov,peacecorps.gov,gov,,,,,,,,,,,U.S. Peace Corps,Peace Corps,Executive,True,"[""pulse""]",2024-02-17T06:52:06.987Z,timeout,completed,completed,completed,completed,False,,,,,,,,,,,,"[""py.peacecorps.gov""]",,0.0,1986.0,,,GlobalProtect Portal,,,,,,,,False,False,https://py.peacecorps.gov/robots.txt,False,404.0,text/html,,,,False,False,https://py.peacecorps.gov/sitemap.xml,False,404.0,text/html,,,,,,,,,,,,,
lyncaccess.peacecorps.gov,peacecorps.gov,gov,,,,,,,,,,,U.S. Peace Corps,Peace Corps,Executive,,"[""pulse""]",2024-02-17T06:51:32.263Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gt.peacecorps.gov,peacecorps.gov,gov,False,https://gt.peacecorps.gov/global-protect/login.esp,peacecorps.gov,gov,gt.peacecorps.gov,True,200.0,text/html,True,True,U.S. Peace Corps,Peace Corps,Executive,True,"[""pulse""]",2024-02-17T06:52:33.201Z,completed,completed,completed,completed,completed,False,,,False,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,0.0,"[""gt.peacecorps.gov""]",True,0.0438151123046875,781.399,,,GlobalProtect Portal,,,,,,,False,False,False,https://gt.peacecorps.gov/robots.txt,False,404.0,text/html,,,,False,False,https://gt.peacecorps.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
bw.peacecorps.gov,peacecorps.gov,gov,False,https://bw.peacecorps.gov/global-protect/login.esp,peacecorps.gov,gov,bw.peacecorps.gov,True,200.0,text/html,True,True,U.S. Peace Corps,Peace Corps,Executive,True,"[""pulse""]",2024-02-17T06:48:22.856Z,completed,completed,completed,completed,completed,False,,,False,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,0.0,"["".peacecorps.gov"",""bw.peacecorps.gov""]",True,0.0438151123046875,1220.8,,,GlobalProtect Portal,,,,,,,False,False,False,https://bw.peacecorps.gov/robots.txt,False,404.0,text/html,,,,False,False,https://bw.peacecorps.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
bj.peacecorps.gov,peacecorps.gov,gov,,,,,,,,,,,U.S. Peace Corps,Peace Corps,Executive,True,"[""pulse""]",2024-02-17T06:49:38.621Z,timeout,completed,completed,completed,completed,False,,,,,,,,,,,,"[""bj.peacecorps.gov""]",,0.0438151123046875,1112.699,,,GlobalProtect Portal,,,,,,,,False,False,https://bj.peacecorps.gov/robots.txt,False,404.0,text/html,,,,False,False,https://bj.peacecorps.gov/sitemap.xml,False,404.0,text/html,,,,,,,,,,,,,
tonga.peacecorps.gov,peacecorps.gov,gov,,,,,,,,,,,U.S. Peace Corps,Peace Corps,Executive,,"[""pulse""]",2024-02-17T06:52:22.610Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls.peacecorps.gov,peacecorps.gov,gov,False,https://ls.peacecorps.gov/global-protect/login.esp,peacecorps.gov,gov,ls.peacecorps.gov,True,200.0,text/html,True,True,U.S. Peace Corps,Peace Corps,Executive,True,"[""pulse""]",2024-02-17T06:46:59.816Z,completed,completed,completed,completed,completed,False,,,False,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,0.0,"[""ls.peacecorps.gov""]",True,0.0,1389.0,,,GlobalProtect Portal,,,,,,,False,False,False,https://ls.peacecorps.gov/robots.txt,False,404.0,text/html,,,,False,False,https://ls.peacecorps.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
mx.peacecorps.gov,peacecorps.gov,gov,False,https://mx.peacecorps.gov/global-protect/login.esp,peacecorps.gov,gov,mx.peacecorps.gov,True,200.0,text/html,True,True,U.S. Peace Corps,Peace Corps,Executive,True,"[""pulse""]",2024-02-17T06:50:39.733Z,completed,completed,completed,completed,completed,False,,,False,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,0.0,"[""mx.peacecorps.gov""]",True,0.0,962.299,,,GlobalProtect Portal,,,,,,,False,False,False,https://mx.peacecorps.gov/robots.txt,False,404.0,text/html,,,,False,False,https://mx.peacecorps.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
