target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
awseg.sec.gov,sec.gov,.gov,False,https://awseg.sec.gov/,sec.gov,gov,awseg.sec.gov,False,503.0,unknown,True,True,Securities and Exchange Commission,Network Operations Branch,Executive,False,"[""pulse"",""omb_idea""]",False,2024-12-05T01:18:16.469Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,,,,0.0,,False,0.0,380.0,,,True,True,,,,,,,,,,,,,,False,False,False,https://awseg.sec.gov/robots.txt,False,503.0,unknown,,,,False,False,https://awseg.sec.gov/sitemap.xml,False,503.0,unknown,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
edgarcompany.sec.gov,sec.gov,.gov,,,,,,,,,,,Securities and Exchange Commission,Network Operations Branch,Executive,,"[""pulse"",""omb_idea""]",True,2024-12-05T06:30:03.938Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
search.sec.gov,sec.gov,.gov,,,,,,,,,,,Securities and Exchange Commission,Network Operations Branch,Executive,,"[""pulse""]",,2024-12-05T06:30:38.722Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regandsurvey.sec.gov,sec.gov,.gov,,,,,,,,,,,Securities and Exchange Commission,Network Operations Branch,Executive,,"[""pulse""]",,2024-12-05T01:27:04.998Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
penny.filermanagement.edgarfiling.sec.gov,sec.gov,.gov,,,,,,,,,,,Securities and Exchange Commission,Network Operations Branch,Executive,,"[""pulse""]",,2024-12-05T02:26:02.668Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wft2.sec.gov,sec.gov,.gov,,,,,,,,,,,Securities and Exchange Commission,Network Operations Branch,Executive,,"[""pulse""]",,2024-12-05T01:28:07.582Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edgarfiling.sec.gov,sec.gov,.gov,,,,,,,,,,,Securities and Exchange Commission,Network Operations Branch,Executive,,"[""pulse""]",,2024-12-05T05:24:11.539Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adviserinfo.sec.gov,sec.gov,.gov,False,https://adviserinfo.sec.gov/,sec.gov,gov,adviserinfo.sec.gov,True,200.0,text/html,True,True,Securities and Exchange Commission,Network Operations Branch,Executive,False,"[""pulse"",""omb_idea"",""2020_eot""]",True,2024-12-05T01:25:26.651Z,completed,completed,completed,completed,completed,completed,completed,completed,True,cloudflare.net,,,,False,,False,,,"G-Q2WNFXBP8B,UA-154816590-1,G-MNBGRVPD21","[""4eb97633b8b43872.cbridgert.vhtcloud.com"",""analytics.foresee.com"",""fonts.googleapis.com"",""fonts.gstatic.com"",""gateway.foresee.com"",""static.support.finra.org"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://4eb97633b8b43872.cbridgert.vhtcloud.com/vht-conversation-bridge-brand.css"",""https://4eb97633b8b43872.cbridgert.vhtcloud.com/vht-conversation-bridge-runtime.css"",""https://analytics.foresee.com/ingest/events"",""https://fonts.googleapis.com/css"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/dmsans/v15/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmSU5fBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmWUlfBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2"",""https://gateway.foresee.com/code/19.11.1/fs.compress.js"",""https://gateway.foresee.com/code/19.11.1/fs.trigger.js"",""https://gateway.foresee.com/code/19.11.1/fs.utils.js"",""https://gateway.foresee.com/sites/adviserinfo-sec-gov/production/gateway.min.js"",""https://static.support.finra.org/external/ecc-widgets.js"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/j/collect"",""https://www.googletagmanager.com/a"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",8.0,"["".adviserinfo.sec.gov"","".sec.gov""]",True,0.1626516547444661,633.9,,,True,True,IAPD - Investment Adviser Public Disclosure - Homepage,IAPD provides information on Investment Adviser firms regulated by the SEC and/or state securities regulators,"Financial Analyst, Financial Adviser, Financial Consultant, Financial Planner, Investment Adviser, Investment Consultant, Wealth Manger, Fiduciary",,,,,,,,,en,,False,True,False,https://adviserinfo.sec.gov/robots.txt,True,200.0,text/plain,253.0,,"[""https://reports.adviserinfo.sec.gov/seo/sitemap.xml""]",True,False,https://adviserinfo.sec.gov/sitemap.xml,True,200.0,text/html,6514.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
tcr.sec.gov,sec.gov,.gov,,,,,,,,,,,Securities and Exchange Commission,Network Operations Branch,Executive,False,"[""omb_idea""]",True,2024-12-05T06:21:21.104Z,http2_error,http2_error,completed,completed,http2_error,http2_error,completed,http2_error,True,edgekey.net,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filermanagement.edgarfiling.sec.gov,sec.gov,.gov,,,,,,,,,,,Securities and Exchange Commission,Network Operations Branch,Executive,,"[""pulse"",""omb_idea""]",True,2024-12-05T06:27:26.967Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
