target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,accessibility_violations,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
presidentialdocuments.gov,presidentialdocuments.gov,.gov,True,https://www.govinfo.gov/app/collection/cpd,govinfo.gov,gov,www.govinfo.gov,True,200.0,text/html,False,False,Government Publishing Office,Government Publishing Office,Legislative,False,"[""gov""]",,2024-12-28T06:29:25.731Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,,True,,,,,False,,False,,,,"[""analytics.govinfo.gov"",""fonts.googleapis.com"",""stackpath.bootstrapcdn.com""]","[""https://analytics.govinfo.gov/track"",""https://fonts.googleapis.com/css"",""https://stackpath.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css""]",3.0,,True,0.0,0.0,,,,,GovInfo,,,,Official Publications from the U.S. Government Publishing Office.,,,https://www.govinfo.gov/sites/default/files/media/govinfo_eagle_homepage.png,,,,en,,False,False,True,https://www.govinfo.gov/app/collection/cpd,True,200.0,text/html,,,,False,True,https://www.govinfo.gov/app/collection/cpd,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
federalregister.gov,federalregister.gov,.gov,True,https://www.federalregister.gov/,federalregister.gov,gov,www.federalregister.gov,True,200.0,text/html,True,False,Government Publishing Office,Government Publishing Office,Legislative,False,"[""gov"",""omb_idea""]",True,2024-12-28T05:41:26.313Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,"{""aria"":1,""contrast"":4}",False,awsglobalaccelerator.com,,,"["">Sign In<""]",True,,True,"{""agency"":""NARA"",""subagency"":""fedreg""}",20241218 v8.5 - GA4,"UA-17607887-1,G-CSLL4ZEK4L,G-EDYG1V6520","[""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://dap.digitalgov.gov/web-vitals/dist/web-vitals.attribution.iife.js"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1Mu51xIIzIXKMny.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmWUlfBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.google-analytics.com/g/collect"",""https://www.googletagmanager.com/gtag/js""]",5.0,"["".federalregister.gov""]",False,0.0131696840820312,327.69999980926514,"[""about"",""fear"",""foia"",""privacy""]","[""accessibility"",""no fear act"",""foia""]",,,"Federal Register :: Home - Friday, December 27th",,government federal register executive rulings notices,"Home - Friday, December 27th","Search, browse and learn about the Federal Register. Federal Register 2.0 is the unofficial daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents.",,,https://www.federalregister.gov/assets/open_graph_site_banner.png,,https://www.federalregister.gov/,https://www.federalregister.gov,en,,True,True,True,https://www.federalregister.gov/robots.txt,True,200.0,text/plain,320.0,,,False,True,https://www.federalregister.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
uscode.gov,uscode.gov,.gov,True,https://www.govinfo.gov/app/collection/uscode,govinfo.gov,gov,www.govinfo.gov,True,200.0,text/html,False,False,Government Publishing Office,Government Publishing Office,Legislative,False,"[""gov""]",,2024-12-28T03:07:33.358Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,,True,,,,,False,,False,,,,"[""analytics.govinfo.gov"",""fonts.googleapis.com"",""stackpath.bootstrapcdn.com""]","[""https://analytics.govinfo.gov/track"",""https://fonts.googleapis.com/css"",""https://stackpath.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css""]",3.0,,True,0.0,0.0,,,,,GovInfo,,,,Official Publications from the U.S. Government Publishing Office.,,,https://www.govinfo.gov/sites/default/files/media/govinfo_eagle_homepage.png,,,,en,,False,False,True,https://www.govinfo.gov/app/collection/uscode,True,200.0,text/html,,,,False,True,https://www.govinfo.gov/app/collection/uscode,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
fdsys.gov,fdsys.gov,.gov,True,https://www.govinfo.gov/about#fdsys-transition,govinfo.gov,gov,www.govinfo.gov,True,200.0,text/html,False,False,Government Publishing Office,Government Publishing Office,Legislative,False,"[""gov""]",,2024-12-28T00:46:08.604Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,"{""contrast"":4}",True,,Drupal,,,True,,False,,,,"[""analytics.govinfo.gov"",""fonts.googleapis.com"",""fonts.gstatic.com""]","[""https://analytics.govinfo.gov/track"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/lato/v24/S6u9w4BMUTPHh6UVSwiPGQ3q5d0.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmWUlfBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2""]",3.0,,True,0.1069810295410156,1408.5,"[""about""]","[""about us"",""accessibility""]",,,About Us | GovInfo,"Find detailed information about GovInfo, GPO, the FDLP, the transition from FDsys, and answers to commonly asked questions about GovInfo.",,About Us,"Find detailed information about GovInfo, GPO, the FDLP, the transition from FDsys, and answers to commonly asked questions about GovInfo.",,,https://www.govinfo.gov/media/govinfo_eagle_homepage.png,Government,https://www.govinfo.gov/about,https://www.govinfo.gov/about,en,,False,False,True,https://www.govinfo.gov/about,True,200.0,text/html,,,,False,True,https://www.govinfo.gov/about,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
usgovernmentmanual.gov,usgovernmentmanual.gov,.gov,False,https://usgovernmentmanual.gov/,usgovernmentmanual.gov,gov,usgovernmentmanual.gov,True,200.0,text/html,True,True,Government Publishing Office,Office of Federal Register (NF),Legislative,False,"[""gov""]",,2024-12-28T03:22:52.612Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,"{""contrast"":18,""language"":1,""images"":1}",True,,,,,True,,False,,,"UA-153998691-1,G-8E8ZV2PRL1","[""cdnjs.cloudflare.com"",""maxcdn.bootstrapcdn.com"",""stackpath.bootstrapcdn.com"",""use.fontawesome.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js"",""https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js"",""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css"",""https://use.fontawesome.com/releases/v5.15.1/css/all.css"",""https://use.fontawesome.com/releases/v5.15.1/webfonts/fa-solid-900.woff2"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.googletagmanager.com/gtag/js""]",6.0,"["".usgovernmentmanual.gov""]",True,0.0,206.69999980926517,"[""about"",""fear"",""privacy""]","[""about us"",""accessibility"",""no fear act"",""freedom of information act""]",,,Home Page,,,,,,,,,,,,,False,False,False,https://usgovernmentmanual.gov/robots.txt,False,404.0,text/html,,,,False,False,https://usgovernmentmanual.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.usgovernmentmanual.gov,usgovernmentmanual.gov,.gov,False,https://www.usgovernmentmanual.gov/,usgovernmentmanual.gov,gov,www.usgovernmentmanual.gov,True,200.0,text/html,True,True,Government Publishing Office,Office of Federal Register (NF),Legislative,False,"[""gov"",""2020_eot""]",,2024-12-28T05:55:20.658Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,"{""contrast"":18,""language"":1,""images"":1}",True,,,,,True,,False,,,"UA-153998691-1,G-8E8ZV2PRL1","[""cdnjs.cloudflare.com"",""maxcdn.bootstrapcdn.com"",""stackpath.bootstrapcdn.com"",""use.fontawesome.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js"",""https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js"",""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css"",""https://use.fontawesome.com/releases/v5.15.1/css/all.css"",""https://use.fontawesome.com/releases/v5.15.1/webfonts/fa-solid-900.woff2"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.googletagmanager.com/gtag/js""]",6.0,"["".usgovernmentmanual.gov""]",True,0.0,188.69999980926517,"[""about"",""fear"",""privacy""]","[""about us"",""accessibility"",""no fear act"",""freedom of information act""]",,,Home Page,,,,,,,,,,,,,False,False,False,https://www.usgovernmentmanual.gov/robots.txt,False,404.0,text/html,,,,False,False,https://www.usgovernmentmanual.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
gpodev.gov,gpodev.gov,.gov,,,,,,,,,,,Government Publishing Office,Government Publishing Office,Legislative,,"[""gov""]",,2024-12-28T06:07:01.144Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senatecalendar.gov,senatecalendar.gov,.gov,True,https://www.govinfo.gov/app/collection/ccal,govinfo.gov,gov,www.govinfo.gov,True,200.0,text/html,False,False,Government Publishing Office,Government Publishing Office,Legislative,False,"[""gov""]",,2024-12-28T07:23:38.594Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,"{""aria"":7,""contrast"":3,""lists"":6}",True,,,,,False,,False,,,,"[""analytics.govinfo.gov"",""cdn.jsdelivr.net"",""fonts.googleapis.com"",""fonts.gstatic.com""]","[""https://analytics.govinfo.gov/track"",""https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css"",""https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons.woff2"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/lato/v24/S6u9w4BMUTPHh6UVSwiPGQ3q5d0.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmWUlfBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2""]",4.0,,True,0.5530942060139974,2762.2999997138977,"[""about""]",,,,Congressional Calendars | Govinfo,,,,,,,,,,,en,,True,False,True,https://www.govinfo.gov/app/collection/ccal,True,200.0,text/html,,,,False,True,https://www.govinfo.gov/app/collection/ccal,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
congressionaldirectory.gov,congressionaldirectory.gov,.gov,True,https://www.govinfo.gov/app/collection/cdir,govinfo.gov,gov,www.govinfo.gov,True,200.0,text/html,False,False,Government Publishing Office,Government Publishing Office,Legislative,False,"[""gov""]",,2024-12-28T03:18:39.277Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,,True,,,,,False,,False,,,,"[""analytics.govinfo.gov"",""fonts.googleapis.com"",""stackpath.bootstrapcdn.com""]","[""https://analytics.govinfo.gov/track"",""https://fonts.googleapis.com/css"",""https://stackpath.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css""]",3.0,,True,0.0,0.0,,,,,GovInfo,,,,Official Publications from the U.S. Government Publishing Office.,,,https://www.govinfo.gov/sites/default/files/media/govinfo_eagle_homepage.png,,,,en,,False,False,True,https://www.govinfo.gov/app/collection/cdir,True,200.0,text/html,,,,False,True,https://www.govinfo.gov/app/collection/cdir,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
drafting.ecfr.gov,ecfr.gov,.gov,False,https://drafting.ecfr.gov/,ecfr.gov,gov,drafting.ecfr.gov,True,200.0,text/html,True,True,Government Publishing Office,Government Publishing Office,Legislative,False,"[""dap""]",,2024-12-28T02:34:20.573Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,"{""aria"":1,""user-control-name"":1,""contrast"":25}",False,awsglobalaccelerator.com,,,,True,,True,"{""agency"":""NARA"",""subagency"":""fedreg""}",20241218 v8.5 - GA4,"G-CSLL4ZEK4L,G-K7SMYBYX81","[""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""ga.jspm.io"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://dap.digitalgov.gov/web-vitals/dist/web-vitals.attribution.iife.js"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/roboto/v32/KFOkCnqEu92Fr1Mu51xIIzIXKMny.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOlCnqEu92Fr1MmWUlfBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v32/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2"",""https://ga.jspm.io/npm:@hotwired/stimulus@3.2.2/dist/stimulus.js"",""https://ga.jspm.io/npm:stimulus-use@0.52.0/dist/index.js"",""https://www.googletagmanager.com/gtag/js""]",5.0,"["".ecfr.gov""]",True,0.4324759013671875,427.80000019073486,"[""about"",""fear"",""foia"",""privacy""]","[""accessibility"",""no fear act"",""foia""]",,,eCFR :: Home,,,,,,,,,,https://www.ecfr.gov,en,,False,True,False,https://drafting.ecfr.gov/robots.txt,True,200.0,text/plain,128.0,,,False,False,https://drafting.ecfr.gov/sitemap.xml,False,404.0,text/plain,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
